Participant,Provenance,Achievement,Sport,Location,TimePeriod,Controversy,ControversyType,GoverningBody,Viewpoint,Context,PrimaryAttitude,AttitudeShift,SecondaryAttitude,,,,,
Lance Armstrong,USA,Tour de France 90,Cyclism,France,2003,Detection of illicit substance in athlete's body,Doping,International Ciclist Union (UCI),GoverningBody viewpoint,"The athlete is the absolute record holder, winner of 7 consecutive editions of the Tour de France between 1999 and 2005.","The cyclist won multiple titles and gained significant prestige, earning the nickname 'Tour de Lance","Detection of EPO (erythropoietin). The analysis, conducted by the National Anti-Doping Laboratory (LNDD) in Châtenay-Malabry (France), was based on frozen urine and blood samples. The report only presented the detection of the substance in its analysis in 2012.",The loss of all his Tour de France titles and a ban from competitions held by the International Cycling Union.,,,,,
Mariya Savinova,Russia, XXX Summer Olympiad 800 metres,Athletics,United Kingdom,2012,Detection of illicit substance in athlete's body,Doping,International Olympic Committee (IOC) ,GoverningBody viewpoint,"European indoor champion and World indoor champion in the 800 meters, Savinova was one of the favorites for the 2012 Olympics","Savinova won the 800m, taking the gold medal.",Savinova admitted to injecting testosterone and using the anabolic steroid oxandrolone  in a documentary aired on German TV in 2014.,"The IAAF charged her with doping violations in 2015. In 2017 the Court of Arbitration for Sport upheld the four-year ban for Savinova, nullified her results from July 2010 to August 2013, and stripped her of the medals she was awarded during that time, including prize money and appearance fees.",,,,,
New Orleans Saints team,USA,Super Bowl XLIV,American football,USA,2009,Payment scheme for injuring opponents during matches,RuleViolation,National Football League (NFL),GoverningBody viewpoint,The New Orleans Saints led the 2009 season,The victory of the New Orleans Saints in the 2009 competition and strong placements in the following two championships.,"ESPN's 2012 report, referred to by the NFL as irrefutable proof of a pay-for-performance scheme, revealed that from 2009 to 2012, players were encouraged to injure opponents during games","Sanctions to New Olrleans Saints coaches and front-office personnel for their roles in the scandal. Mass suspensions, federal court hearings, litigation, and a fine of $500,000.",,,,,
Diego Maradona,Argentina,13th FIFA World Cup,Soccer,Mexico,1986,Violation of the rule against touching the ball with the hands.,RuleViolation,International Federation of Association Football (FIFA),GoverningBody viewpoint,"Maradona, a soccer legend, played in the quarter-final match between Argentina and England",The referees did not have a clear view of the play and allowed the goal to stand. Argentina advanced to the semifinals and subsequently won the Cup.,"The controversy after the match, along with the subsequent reuse of the ""Hand of God"" in the 1990 World Cup against the USSR, led FIFA to change the refereeing rules, creating what is known as Fair Play.",Argentina retained its title despite the controversy surrounding the match.,,,,,
Chelsea team / Barcelona team,England,54th UEFA Champions League semifinals,Soccer,Spain,2009,Officiating decisions favoring Chelsea,Officiating,Union of European Football Associations (UEFA),GoverningBody viewpoint,"The game, then tied at 1-1, had many incorrect decisions by the referee Tom Henning Øvrebø. The use of the Away Goals rule instead of penalties gave Barcelona the win, as the team had scored more goals in the championship.",Barcelona won the match.,"At the end of the game, both Chelsea fans and players were outraged by the officiating. Some players insulted Øvrebø, and Didier Drogba had to be physically restrained to prevent him from attacking the referee. Chelsea requested  for a review of the match.","UEFA upheld Barcelona's victory, fined Chelsea for inappropriate conduct, and banned players from subsequent matches. The referee admitted to officiating mistakes in 2018.",,,,,
Juventus team,Italy,2004/05 Serie A,Soccer,Italy,2004/2005,Selection of favorable officials for Juventus,Officiating,Italian Football Federation (FIGC),GoverningBody viewpoint,"The Italian soccer domestic competition, Serie A, selects the teams that will participate in the UEFA competitions and is the main event for domestic clubs in Italy",Juventus was the champion of Serie A.,"In May 2006, telephone tappings showed relations between clubs' executives and referee organizations during the football seasons of 2004–05 and 2005–06, being accused of selecting favourable referees","Juventus lost the title, which remained without a defined winner, and was relegated to Serie B, along with paying fines and facing the banishment of high-ranking officials from the club.",,,,,
Michael Phelps,USA,XXIX Summer Olympiad 200-metre butterfly,Swimming,China,2008,Use of unfair technological clothing ,Technology,International Olympic Committee (IOC),GoverningBody viewpoint,Olympic medalist swimmer Michael Phelps wore a full-body suit for the first time in an Olympic competition,"Michael Phelps won 8 gold medals, breaking the record for the most gold medals won in a single Olympic Games.",The International Olympic Committee received numerous inquiries about the use of technological swimwear and the legitimacy of the winnings. The use of the swimsuit was banned in 2009. ,"Michael Phelps kept his medals and broke his own records at the following Olympics in 2012, this time without the use of the suit.",,,,,
Oscar Pistorius,South Africa,13th Summer Paralympiad 100 metres,Athletics,China,2008,Use of technological prostheses,Technology,International Paralympic Committee (IPC),GoverningBody viewpoint,The para-athlete Oscar Pistorius won a bronze medal at the Athens Olympics and was a winner in several other championships. He was a favorite to compete in the 2008 Beijing Olympics," IAAF and IOC in 2008 ruled Pistorius's prostheses ineligible for use in competitions conducted under the IAAF rules, including the 2008 Summer Olympic Games.","The athlete appealed the decision to the Court of Arbitration for Sport (CAS), which heard his appeal and reversed the decision made by the IAAF. The reversal was ratified by the International Olympic Committee, allowing the athlete to compete with the prosthetics",He won three gold medals at the Paralympics.,,,,,
Quinn,Canada,XXXII Summer Olympiad  football tournament,Soccer,Japan,2021,Participation of the transgender athlete Quinn,Gender,International Olympic Committee (IOC) ,GoverningBody viewpoint,Soccer player Quinn was the first openly transgender and non-binary athlete to compete for Canada and advocate for inclusion in the Olympics,"Quinn was not permitted to compete in the 2020 Olympics as a non-binary athlete. The existing rules required athletes to compete according to their assigned gender at birth, but the competition was postponed due to the COVID-19 pandemic","IOC 2021 Guidelines allowed athletes to compete in events according to their gender identity, without the need for surgery, as long as their testosterone levels remained below a certain threshold.","Quinn was allowed to compete in the team according to gender identity, helping Canada win the gold medal in women’s soccer",,,,,
Christine Mboma,Namibia,XXXII Summer Olympiad  200 metres,Athletics,Japan,2021,Participation of female athletes with naturally high testosterone levels,Gender,International Olympic Committee (IOC) ,GoverningBody viewpoint,"In 2021, Mboma set an unratified world  record of 48.54 s in the 400 metres, which made her one of the favorites for the Olympics","The athlete would participate in the 400m, 200m, 100m, and 4x100m competitions; however, the Olympics were postponed from 2020 to 2021 due to the COVID-19 pandemic",IOC 2021 Guidelines defined the regulations on testosterone levels for athletes with XY disorders of sex development,Mboma was not allowed to compete under the female classification in events between 400 metres and one mile. She won a Silver Medal in 200 metres.,,,,,
Manchester City team,England,18th Premier League,Soccer,United Kingdom,2009/2010,The violation of fiscal rules to conceal deficits and irregularities,Ethics,Football Association (FA),GoverningBody viewpoint,"Manchester City was a highly significant team throughout all the tournament seasons, winning titles in the period between 2009 and 2018, specifically in the years 2012, 2014, and 2018.",Manchester City finished outside the podium in the 2010 Premier League tournament,German website Der Spiegel published the Football Leaks documents containing evidence of potential Manchester's financial violations,"The investigations have not been concluded, but possible punishments presented by the Premier League range from a points deduction, a fine, or expulsion from the Premier League.",,,,,
Tonya Harding,USA,1994 U.S. Figure Skating Championships,Figure Skating,USA,1994,Use of aggression to obstruct competitors’ participation,Ethics,U.S. Figure Skating Association (USFSA),GoverningBody viewpoint,"One day before the championship, Nancy Kerrigan, who was set to compete against Harding in the finals, was attacked in a hallway after a practice session",Tonya Harding won first place at the championship classfying herself to the Olympics,Harding confessed paticipation in the attack on Nancy Kerrigan under FBI interrogation 10 days later,"Suspension of the title, impossibility of participating in the Olympics, and permanent ban from Figure Skating national championships",,,,,
Miami Heat team,USA,2012 NBA Finals,Basketball,USA,2011 / 2012,Reduction in the number of games during the season,ContextualFactors,National Basketball Association's (NBA) ,GoverningBody viewpoint,The 2011-2012 season would have taken place as usual,"The start of the games was postponed from October to December, causing doubts among the fans","NBA and players’ labor union were unable to agree on a new collective bargaining agreement, reducing the number of regular-season games from 82 to 66. ",The Miami Heat won the NBA championship.,,,,,
Legia Warsaw team / ŁKS Łódź team / Lech Poznań  team,Poland,1992/93 Ekstraklasa,Soccer,Poland,1992 / 1993,The coincidence of two games with improbable results,ContextualFactors,Polish Football Association (PZPN),GoverningBody viewpoint,"Before the last gameweek of the Polish League, Legia Warsaw was leading the league by havinga goal difference greater thatn that of ŁKS Łódź by 3 goals. Both teams were ahead of third place Lech Poznań by one point. As such, Legia was guaranteed to win the title, if they won the match by a margin not smaller than 3 goal than a hypothetical win of ŁKS.","Legia won their match against Wisła Kraków 6-0, while ŁKS won their match against Olimpia Poznań 7:1, and as such, Legia won the title.","The coincidence of two unusual results in matches played simultaneously led to the events being nicknamed the ""Sunday of Miracles"" and cast doubt on the legitimacy of the games. Cases of fans shouting ""share the bribe"" were directed toward Wisła players. Additionally, the commentator of this match said he thinks the match was sold during a live broadcast.","UEFA forced the Polish FA to investigate the matter. After a month and a half of deliberating, despite no concrete evidence, the results of the two matches were nullified by a vote of FA officials. One of the FA officials justified this as ""it was seen by the whole country"". One of Wisła's players admitted to selling the game against Legia in 2021.",,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
